cik,Fiscal Year Month,Fiscal Year Day,Fiscal  Year,Accelerated Filer (Yes/No),Shell company,Public Float Month,Public Float Day,Public Float Year,Public Float,Managements Report (Yes/No),gvkey,,Note: This data comes from company 10K filings collected through EDGAR. 
908598,12,31,2001,,,3,21,2002,21523000,,28712,,
908598,12,31,2002,0,,6,28,2002,11460000,,28712,,
908598,12,31,2003,0,,6,30,2003,13931000,,28712,,
908598,12,31,2004,0,,6,30,2004,68161000,0,28712,,
908598,12,31,2005,0,0,6,30,2005,26437000,0,28712,,
819527,3,31,2001,,,7,6,2001,35175961,,13864,,
819527,3,31,2002,,,6,27,2002,31844573,,13864,,
819527,3,31,2003,0,,9,30,2002,20177131,,13864,,
819527,3,31,2004,0,,9,30,2003,18284935,,13864,,
819527,3,31,2005,0,,9,30,2004,9041667,,13864,,
819527,3,31,2006,0,0,9,30,2005,14610399,0,13864,,
69733,3,31,2001,,,6,6,2001,23315166,,7696,,
69733,3,31,2002,,,6,7,2002,24399888,,7696,,
69733,3,31,2003,0,,6,6,2003,19479901,,7696,,
69733,3,31,2004,0,,9,28,2003,23747000,,7696,,
69733,3,31,2005,0,,9,26,2004,32148000,0,7696,,
69733,3,31,2006,0,0,9,25,2005,42741000,0,7696,,
884144,7,31,2001,,,10,10,2001,48441432,,25138,,
884144,7,31,2002,,,10,21,2002,32873397,,25138,,
884144,7,31,2003,0,,1,31,2003,30749744,,25138,,
884144,7,31,2004,0,,1,30,2004,56709850,0,25138,,
884144,7,31,2005,0,0,1,31,2005,43956217,0,25138,,
884144,7,31,2006,0,0,1,31,2006,61443851,0,25138,,
858452,12,31,2001,,,2,28,2002,4383689,,20202,,
858452,12,31,2002,0,,2,6,2003,5190614,,20202,,
858452,12,31,2003,0,,6,30,2003,15849990,,20202,,
858452,12,31,2004,0,,6,30,2004,17417671,0,20202,,
858452,12,31,2005,0,0,6,30,2005,16586320,0,20202,,
1040470,5,31,2001,,,7,31,2001,25896000,,65286,,
1040470,5,31,2002,,,7,31,2002,24524000,,65286,,
1040470,5,31,2003,0,,7,31,2003,22937000,,65286,,
1040470,5,31,2004,0,,7,30,2004,21725000,,65286,,
1040470,5,31,2005,0,,7,29,2005,16452000,0,65286,,
1040470,5,31,2006,0,0,7,31,2006,46712000,0,65286,,
911149,12,31,2001,,,3,8,2002,31600000,,28983,,
911149,12,31,2002,0,,6,28,2002,21800000,,28983,,
911149,12,31,2003,0,,6,28,2003,7790000,,28983,,
911149,12,31,2004,0,,6,26,2004,12500000,0,28983,,
911149,12,31,2005,0,,6,25,2005,6100000,0,28983,,
98338,5,31,2001,,,7,31,2001,13412000,,10305,,
98338,5,31,2002,,,7,31,2002,13305000,,10305,,
98338,5,31,2003,0,,11,30,2002,12400000,,10305,,
98338,5,31,2004,0,,11,30,2003,17973000,,10305,,
98338,5,31,2005,0,,11,30,2004,18186000,0,10305,,
98338,5,31,2006,0,0,11,30,2005,13128000,0,10305,,
1072978,3,31,2001,,,6,15,2001,37105115,,118738,,
1072978,3,31,2002,,,6,25,2002,23099138,,118738,,
1072978,3,31,2003,0,,9,30,2002,13815328,,118738,,
1072978,3,31,2004,0,,9,30,2003,17858326,0,118738,,
